,sacrum height,hump position,horn length,withers height,muzzle circumference,stripe mullet,body length,tail length,distance base horn,head length,sex,age,genotype
0,91.5,0,12.5,92.0,36.0,0,67.5,85.0,13.0,39.0,1,3.0,1
1,93.0,0,13.5,92.5,36.5,0,76.0,78.0,13.0,39.5,0,5.0,1
2,88.5,0,0.0,84.0,37.0,0,74.0,70.0,10.5,35.5,0,9.0,1
3,91.0,0,8.0,89.0,35.5,0,80.0,81.0,14.5,42.0,0,10.0,1
4,93.0,0,15.0,91.0,34.0,0,74.0,90.0,14.5,41.5,1,3.0,1
5,95.0,0,23.0,91.0,44.0,0,73.0,105.5,13.5,39.5,0,8.0,1
6,98.0,0,28.5,95.0,37.0,0,84.5,97.0,16.0,42.0,0,6.0,1
7,96.0,0,7.0,90.0,34.0,0,73.0,100.0,13.0,36.0,0,7.0,1
8,95.0,0,18.5,98.0,38.0,1,76.0,88.0,14.0,40.0,0,15.0,1
9,95.5,0,16.0,93.0,37.5,0,80.0,85.0,13.0,38.5,1,4.0,1
10,95.5,0,15.0,93.0,35.0,0,91.0,96.0,12.5,44.5,1,10.0,1
11,95.0,0,21.0,96.0,37.5,0,79.0,67.5,11.0,41.0,0,16.0,1
12,94.0,0,12.0,93.0,34.0,0,70.0,88.0,12.0,38.0,0,8.0,1
13,97.0,0,16.0,92.0,37.0,0,71.0,92.0,12.0,38.0,0,8.0,1
14,93.0,0,11.0,91.0,34.0,0,74.5,95.0,13.0,38.0,0,6.0,1
15,108.0,0,8.5,103.0,29.5,1,61.0,84.0,11.5,40.0,0,2.0,1
16,97.0,0,17.0,93.0,37.5,0,67.0,89.0,13.0,41.5,1,3.0,1
17,100.0,0,12.5,94.0,33.5,0,86.0,86.0,13.5,44.0,0,5.0,1
18,93.0,0,20.0,91.0,37.5,0,80.0,86.0,15.0,40.0,0,5.0,1
19,99.0,0,10.0,96.0,39.0,0,72.5,82.0,16.5,44.0,1,3.0,1
20,98.0,0,21.5,93.0,37.5,0,86.5,92.0,13.5,41.0,0,10.0,1
21,93.0,0,12.0,95.0,34.0,0,96.5,88.0,11.0,40.0,0,12.0,1
22,96.5,0,13.5,94.0,35.0,0,77.0,97.0,13.0,40.0,0,6.0,1
23,94.0,0,11.0,90.0,35.0,0,71.0,80.0,15.0,39.0,0,6.0,1
24,89.5,0,11.0,90.0,35.0,0,71.5,87.5,14.0,40.5,1,4.0,1
25,79.5,0,8.0,78.0,30.0,0,50.0,62.0,10.5,33.0,1,3.0,1
26,92.5,0,19.0,90.0,38.0,0,71.0,98.0,12.5,41.5,0,6.0,1
27,31.0,0,18.0,88.5,36.0,0,69.0,91.0,14.0,39.0,0,7.0,1
28,110.0,0,18.0,98.0,35.5,0,67.5,96.0,12.5,41.0,0,4.0,1
29,100.0,0,20.5,103.0,42.5,0,92.0,101.0,16.5,47.0,1,9.0,1
30,90.0,0,5.5,88.0,31.0,0,63.5,87.0,12.0,35.5,0,3.0,1
31,100.0,0,11.5,93.5,37.0,0,84.0,95.0,15.5,42.0,1,4.0,1
